long,lat,incident_date,incident_time,location
-79.340133,43.679855,08/02/2016,600,DANFORTH AV / JONES AV
-79.43463,43.674286,08/19/2015,1530,DAVENPORT RD / DOVERCOURT RD
-79.440975,43.672981,08/05/2014,1600,DAVENPORT RD / DUFFERIN ST
-79.429379,43.661159,10/21/2014,1700,DOVERCOURT RD / BLOOR ST W
-79.42639,43.653606,07/11/2015,1202,DOVERCOURT RD / COLLEGE ST
-79.435328,43.659858,09/03/2016,13,DUFFERIN ST / BLOOR ST W
-79.427359,43.638943,06/02/2015,956,DUFFERIN ST / KING ST W
-79.380646,43.655704,08/21/2016,1540,DUNDAS SQ / YONGE ST
-79.378293,43.656246,01/28/2016,740,DUNDAS ST E / BOND ST
-79.378293,43.656246,04/15/2016,1655,DUNDAS ST E / BOND ST
-79.380903,43.656325,09/29/2014,1915,DUNDAS ST E / YONGE ST
-79.406013,43.652296,07/24/2014,1445,DUNDAS ST W / BATHURST ST
-79.383734,43.655726,05/24/2015,1140,DUNDAS ST W / BAY ST
-79.412798,43.650923,10/19/2016,1845,DUNDAS ST W / BELLWOODS AV
-79.393824,43.653814,04/22/2016,2130,DUNDAS ST W / BEVERLEY ST
-79.393824,43.653814,06/30/2016,1753,DUNDAS ST W / BEVERLEY ST
-79.535196,43.641513,09/07/2016,830,DUNDAS ST W / BLOOR ST W
-79.387102,43.655005,09/09/2016,1750,DUNDAS ST W / CENTRE AV
-79.402242,43.652043,12/20/2015,1440,DUNDAS ST W / DENISON AV
-79.402242,43.652043,11/13/2016,1425,DUNDAS ST W / DENISON AV
-79.431424,43.649625,12/22/2015,950,DUNDAS ST W / DUFFERIN ST
-79.394534,43.653664,01/09/2016,1530,DUNDAS ST W / GRANGE PL
-79.422696,43.649381,11/15/2015,1008,DUNDAS ST W / LAKEVIEW AV
-79.426764,43.649496,09/21/2014,200,DUNDAS ST W / LISGAR ST
-79.436976,43.649981,09/13/2014,2040,DUNDAS ST W / MARGUERETTA ST
-79.471043,43.665487,11/15/2015,1802,DUNDAS ST W / MC MURRAY AV
-79.420768,43.649339,09/20/2016,1345,DUNDAS ST W / OSSINGTON AV
-79.468595,43.665457,05/20/2015,1030,DUNDAS ST W / PACIFIC AV
-79.408472,43.651798,01/17/2016,1102,DUNDAS ST W / PALMERSTON AV
-79.419519,43.649571,05/08/2015,1240,DUNDAS ST W / ROXTON RD
-79.433654,43.649764,01/30/2016,1906,DUNDAS ST W / SHERIDAN AV
-79.397932,43.652956,10/06/2014,1857,DUNDAS ST W / SPADINA AV
-79.397932,43.652956,05/30/2015,1300,DUNDAS ST W / SPADINA AV
-79.397932,43.652956,02/05/2016,1130,DUNDAS ST W / SPADINA AV
-79.388143,43.65482,08/26/2015,1800,DUNDAS ST W / UNIVERSITY AV
-79.388143,43.65482,10/16/2016,1230,DUNDAS ST W / UNIVERSITY AV
