ID,ADDRESS_OR_INTERSECTION,POSTAL_CODE,GC_LONGITUDE,GC_LATITUDE
302966,1118 Victoria Park Ave,M4B 2K3,-79.29624739,43.70793715
302974,2343 Eglinton Ave W,M6E 2L6,-79.46266418,43.69264528
302987,1 St Dennis Dr,M3C 1G7,-79.336212,43.716013
302991,243 Eglinton Ave W,M4R 1B1,-79.40663862,43.70480385
302998,585 University Ave,M5G 2N2,-79.38914432,43.65816349
303016,1145 Morningside Ave,M1B 0A7,-79.19917875,43.80125262
303023,1473 Eglinton Ave W,M6E 2G6,-79.43925082,43.69785539
303028,3276 St. Clair Ave E,M1L 1W1,-79.28519623,43.71395939
303037,457 Parliament Street,M5A 3A3,-79.36746088,43.66367833
303050,2416 Danforth Ave.,M4C 1K9,-79.30502318,43.68775201
303052,750 Dundas St W,M6J 3S3,-79.40643593,43.65239427
303072,417 Spadina Rd,M5P 2W3,-79.4124512,43.68885867
303076,2737 Keele St,M3M 2E9,-79.48060673,43.7258079
303114,2394 Keele St,M6M 4A5,-79.47825983,43.70792675
303157,599 Parliament St,M4X 1W3,-79.36912657,43.66783879
303160,2772 Danforth Ave,M4C 1L7,-79.29698617,43.68955051
303161,410 Sherbourne St,M4X 1K2,-79.37419846,43.66472494
303192,1908 Gerrard St E,M4L 2C1,-79.31225625,43.6804614
303202,11 Newton Dr,M2M 2M6,-79.41778326,43.79296798
303219,958 Bloor St W,M6H 1L6,-79.42877538,43.66161579
303231,770 Lawrence Ave. W,M6A 3C6,-79.45237316,43.71520153
303233,3874 Bathurst St,M3H 3N3,-79.43532539,43.74120394
303250,3333 Brimley Rd,M1V 2J7,-79.28365708,43.82112967
303251,35 Lower Simcoe St,M5J 3A6,-79.38356468,43.64193682
303254,266 Donlands Ave,M4J 5B1,-79.3419083,43.68965629
303285,844 Bathurst St,M5R 3G1,-79.41204893,43.66628288
303332,2600 Eglinton Ave W,M6M 1T5,-79.47300913,43.69084776
303393,2010 Eglinton Ave W,M6E 2K3,-79.45551285,43.69485485
303396,622 College St,M6G 1B4,-79.4149733,43.65532478
303403,2355 Keele St,M6M 4A1,-79.47747814,43.70767495
303410,55 Dundas Street East,M5B 1C6,-79.37871459,43.65594573
303411,2047 Avenue Rd,M5M 4A7,-79.41975223,43.73628545
303413,1865 Lawrence Ave E,M1R 2Y3,-79.30226067,43.74336213
303427,761 King St W,M5V 1N4,-79.40585197,43.64306213
303435,149C Ravel Road,M2H 1T1,-79.36724946,43.7911406
303475,565 College St,M6G 1B2,-79.41270667,43.65526475
303487,2480 Eglinton Ave East,M1K 2R4,-79.25961533,43.73494926
303505,1929 Bayview Ave,M4G 3E8,-79.37752723,43.71733956
303523,1646 Victoria Park Ave,M1R 1P7,-79.30584849,43.73093111
303547,81 St Clair Ave E,M4T 1M7,-79.39036151,43.68867458
303568,99 Firvalley Court,M1L 1P2,-79.27790887,43.70335046
303578,1260 Kennedy Rd,M1P 2L3,-79.27843827,43.7569709
303592,1168A Dundas Street W,M6J 1X4,-79.42196572,43.64952176
303631,436 Dundas St. W,M5T 1G7,-79.39571835,43.6537564
303643,550 Queens Quay W,M5V 3M8,-79.39615515,43.6371859
303652,3094 Danforth Ave,M1L 1B1,-79.288169,43.69149
303656,801 Eglinton Ave West,M5N 1E1,-79.42449301,43.70103048
303693,25 Howard St,M4X 1J6,-79.37506162,43.67110743
303694,1254 Bloor St W,M6H 1N5,-79.44037356,43.6590198
303700,1386 Queen St W,M6K 1L7,-79.43366447,43.64139168
303702,1240 Bay St,Toronto,-79.390164,43.6703
303705,2830 Keele St,M3M 3E5,-79.48344298,43.7305081
303712,2978 Danforth Ave,M4C 1M6,-79.29195278,43.69062525
303730,2081 Lakeshore Blvd W,M8Y 3Z4,-79.47647158,43.63030136
303760,124 Belfield Rd,M9W 1G1,-79.57465726,43.70315033
303775,842 Wilson Ave,M3K 1E5,-79.46738418,43.73081245
303789,1001 Queen St W,M6J 1H4,-79.41808797,43.64403339
303818,836 Bloor St. West,M6G 1M2,-79.42379261,43.66258416
303853,2760 Yonge St,M4N 2J2,-79.40123194,43.7186666
303878,481 Dundas St W,M5T 1H1,-79.39724958,43.65300069
